property_id,current_outreach_dispo,proposed_outreach_dispo,action,n_sms_messages_in_thread,jev_choice,jev_confidence,is_suppression_relevant,reason,ledger_generated_at
00000e0b-d16d-44dc-a5cf-5e99e12c98df,nurture,nurture,CONFIRMED,3,nurture,0.55,False,Jev agrees with existing label (conf 0.55).,2026-09-20T05:32:11.711755+00:00
00004fff-65d1-478f-9bc8-08824a5f252c,wrong_number,wrong_number,CONFIRMED,3,wrong_number,0.47000000000000003,False,Jev agrees with existing label (conf 0.47000000000000003).,2026-09-20T05:32:11.711755+00:00
000672b3-689b-46ee-b67a-e8ef36968357,not_interested,not_interested,CONFIRMED,2,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
00082173-faa8-4e55-aa70-2e5349174045,not_interested,not_interested,CONFIRMED,2,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
000acf54-e212-4232-8c3b-9d09f94cb571,nurture,nurture,CONFIRMED,6,nurture,0.92,False,Jev agrees with existing label (conf 0.92).,2026-09-20T05:32:11.711755+00:00
00104cdf-e46c-490a-bbb1-485211906eec,needs_sequence,wrong_number,RECLASSIFY,2,wrong_number,0.97,False,"Jev disagrees with 'needs_sequence', proposes 'wrong_number' (conf 0.97).",2026-09-20T05:32:11.711755+00:00
001245ac-1699-4984-88a0-77c4e39405bd,needs_sequence,nurture,RECLASSIFY,9,nurture,1.0,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 1.0).",2026-09-20T05:32:11.711755+00:00
00132a0f-2c07-4bbb-9611-1d36c45225f2,not_interested,not_interested,CONFIRMED,2,not_interested,0.99,False,Jev agrees with existing label (conf 0.99).,2026-09-20T05:32:11.711755+00:00
002918fa-b9c5-4c56-8ed1-608089cd5d6e,dnc,dnc,HOLD_LOW_SIGNAL,3,unclear,0.48,True,Jev returned 'unclear' - insufficient signal to act on.,2026-09-20T05:32:11.711755+00:00
002c63ca-ec43-4cfd-a293-57e7f827a28b,wrong_number,wrong_number,CONFIRMED,2,wrong_number,0.99,False,Jev agrees with existing label (conf 0.99).,2026-09-20T05:32:11.711755+00:00
00318064-4f76-4ebd-951c-d21b610b2cc5,wrong_number,wrong_number,CONFIRMED,2,wrong_number,0.98,False,Jev agrees with existing label (conf 0.98).,2026-09-20T05:32:11.711755+00:00
0034a4a6-1442-4411-b3ed-6dc496ca147e,needs_sequence,nurture,RECLASSIFY,6,nurture,0.9,False,"Jev disagrees with 'needs_sequence', proposes 'nurture' (conf 0.9).",2026-09-20T05:32:11.711755+00:00
003b3eb0-a7c9-4cab-97e8-22e703c47dda,not_interested,not_interested,CONFIRMED,5,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
003b7b44-706f-4dd4-b2a8-32223113222f,nurture,nurture,CONFIRMED,3,nurture,0.6,False,Jev agrees with existing label (conf 0.6).,2026-09-20T05:32:11.711755+00:00
004116b3-0fda-471c-8eb1-b654edad0089,not_interested,not_interested,CONFIRMED,4,not_interested,1.0,False,Jev agrees with existing label (conf 1.0).,2026-09-20T05:32:11.711755+00:00
00476c8a-409e-420f-8c1d-dbe994a0be3a,wrong_number,wrong_number,HOLD_NO_EVIDENCE,0,unclear,1.0,False,Zero SMS messages in thread - no text evidence to judge.,2026-09-20T05:32:11.711755+00:00
