Inventory ID,Existing capability,Source path,Source line,Expected new behavior,Meaningful test scenario,Phase,Source status,New architecture test status,Gap or decision
F01,Inbox / Outbox tabs,src/app/(dashboard)/messages/cockpit-view.tsx,419,Inbox remains independently navigable; existing Outbox tab and URL behavior unchanged.,"Open Inbox with canonical conversation URL; navigate Outbox and back; compare baseline tab, counts, URL and side effects with capture disabled/enabled; new hooks must add no extra Outbox mutation.",T2/T3,Source verified,Not run,
F02,Search messages,supabase/migrations/20260909080000_messages_search.sql,16,"Search remains authoritative across eligible history; trim, minimum 3 characters, cap 100; preserve contact text, phone digits and message FTS.",Place a matching message outside current 500-ID workset and outside newest 100 history rows; search 3+characters finds its eligible conversation; two characters do not trigger full search; literal percent/underscore do not broaden contact matching.,T2/T3,Source verified,Not run,
F03,Inbox filters,src/app/(dashboard)/messages/inbox-filters.tsx,43,Preserve existing filter predicates; clearer labels do not redefine Mine/Unassigned; selection survives filters.,Select two conversations then change unread/assignment filters; hidden selections remain counted; unrelated local-row absence is not asserted to be outside filter.,T2/T3,Source verified,Not run,
F04,Needs Outcome,supabase/migrations/20260909080000_messages_search.sql,307,"Needs Outcome requires linked property, qualifying inbound, null outcome, no opt-out and prospect/new_lead/contacted stage.","Seed each boundary independently including qualified stage outside allowed set, no property, opted-out and no inbound; compare exact eligible IDs/count; advance time beyond inbound window and verify recompute.",T2/T3,Source verified,Not run,
F05,Hide DNC & tests,supabase/migrations/20260909080000_messages_search.sql,295,Hide DNC/contact or phone suppression/test traffic by default; review view keeps compliance reviews but hides tests.,Compare same DNC conversation in ordinary All with hide toggle on/off and pending-review view; test-fixture row remains excluded in review; visibility never grants send permission.,T2/T3,Source verified,Not run,
F06,Pagination and ordering,src/lib/messages/list-threads.ts,448,Replace offset UI with bounded ordered worksets while preserving source recency eligibility and selected IDs.,"Seed equal timestamps, more than 500 conversations and a pending review older than 90 days; page without duplicate/skip under stable snapshot; arrivals during selection do not move rows; expired scope does not clear selection.",T2/T3,Source verified; identified gap unresolved,Not run,Cursor/workset behavior is new; production-scale timing and rolling-expiry reconciliation unverified.
F07,Open and close a conversation,src/app/(dashboard)/messages/cockpit-view.tsx,204,Plain click selects; explicit Open/Enter inspects without replacing group; Escape follows overlay/gesture/selection/inspection priority.,"Select A/C; open B; delay A detail so it arrives after B; B stays active, group remains A/C; cancel rectangle restores prior group and does not mark anything read.",T2/T3,Source verified,Not run,
F08,Read message history,src/app/(dashboard)/messages/inbox-detail-data.ts,76,Render current history/status details; load older history on demand without delaying first page.,Create 101+messages with tied created_at values; first page and older cursor produce stable chronological history without duplication; loading/error/retry does not replace selected conversation.,T2/T3,Source verified; identified gap unresolved,Not run,Current loader limits100 without older-page UI; stable id tie-break and older-history cursor are approved new work.
F09,Automatic mark-read,src/app/(dashboard)/leads/actions.ts,2396,"After chosen detail renders, mark eligible unread conversation history through its captured transactional boundary; property links are guards only.",Hold inbound writer A while B blocks on head; render capturedboundary; commit later inbound; mark older undisplayed eligible messages but not later arrivals or another conversation sharing property; superseded detail response never acknowledges.,T2/T3,Source verified,Not run,
F10,Conversation identity/context,src/app/(dashboard)/messages/inbox-detail-data.ts,76,Preserve contact/property/owner and actual customer/business route; target identity includes organization.,Use two conversation routes and a property-less known contact; show correct context; ambiguous same UUID in multiple visible orgs rejects rather than choosing newest; selection types do not collide.,T2/T3,Source verified,Not run,
